,x,KWH,date,time,days_since_today
158,2023-03-08 03:20:00+01:00,0.0,2023-03-08,03:20:00,8
159,2023-03-08 03:30:00+01:00,0.0,2023-03-08,03:30:00,8
160,2023-03-08 03:40:00+01:00,0.0,2023-03-08,03:40:00,8
161,2023-03-08 03:50:00+01:00,0.0,2023-03-08,03:50:00,8
162,2023-03-08 04:00:00+01:00,0.0,2023-03-08,04:00:00,8
163,2023-03-08 04:10:00+01:00,0.0,2023-03-08,04:10:00,8
164,2023-03-08 04:20:00+01:00,0.0,2023-03-08,04:20:00,8
165,2023-03-08 04:30:00+01:00,0.0,2023-03-08,04:30:00,8
166,2023-03-08 04:40:00+01:00,0.0,2023-03-08,04:40:00,8
167,2023-03-08 04:50:00+01:00,0.0,2023-03-08,04:50:00,8
168,2023-03-08 05:00:00+01:00,0.0,2023-03-08,05:00:00,8
169,2023-03-08 05:10:00+01:00,0.0,2023-03-08,05:10:00,8
170,2023-03-08 05:20:00+01:00,0.0,2023-03-08,05:20:00,8
171,2023-03-08 05:30:00+01:00,0.0,2023-03-08,05:30:00,8
172,2023-03-08 05:40:00+01:00,0.0,2023-03-08,05:40:00,8
173,2023-03-08 05:50:00+01:00,0.0,2023-03-08,05:50:00,8
174,2023-03-08 06:00:00+01:00,0.0,2023-03-08,06:00:00,8
175,2023-03-08 06:10:00+01:00,0.0,2023-03-08,06:10:00,8
176,2023-03-08 06:20:00+01:00,0.0,2023-03-08,06:20:00,8
177,2023-03-08 06:30:00+01:00,0.0,2023-03-08,06:30:00,8
178,2023-03-08 06:40:00+01:00,0.0,2023-03-08,06:40:00,8
179,2023-03-08 06:50:00+01:00,0.0,2023-03-08,06:50:00,8
180,2023-03-08 07:00:00+01:00,0.0,2023-03-08,07:00:00,8
181,2023-03-08 07:10:00+01:00,0.0,2023-03-08,07:10:00,8
182,2023-03-08 07:20:00+01:00,0.0,2023-03-08,07:20:00,8
183,2023-03-08 07:30:00+01:00,0.0,2023-03-08,07:30:00,8
184,2023-03-08 07:40:00+01:00,0.0,2023-03-08,07:40:00,8
185,2023-03-08 07:50:00+01:00,0.0,2023-03-08,07:50:00,8
186,2023-03-08 08:00:00+01:00,0.0,2023-03-08,08:00:00,8
187,2023-03-08 08:10:00+01:00,0.0,2023-03-08,08:10:00,8
188,2023-03-08 08:20:00+01:00,0.0,2023-03-08,08:20:00,8
189,2023-03-08 08:30:00+01:00,0.0,2023-03-08,08:30:00,8
190,2023-03-08 08:40:00+01:00,0.0,2023-03-08,08:40:00,8
191,2023-03-08 08:50:00+01:00,0.0,2023-03-08,08:50:00,8
192,2023-03-08 09:00:00+01:00,0.0,2023-03-08,09:00:00,8
193,2023-03-08 09:10:00+01:00,0.0,2023-03-08,09:10:00,8
194,2023-03-08 09:20:00+01:00,0.0,2023-03-08,09:20:00,8
195,2023-03-08 09:30:00+01:00,0.0,2023-03-08,09:30:00,8
196,2023-03-08 09:40:00+01:00,0.0,2023-03-08,09:40:00,8
197,2023-03-08 09:50:00+01:00,0.0,2023-03-08,09:50:00,8
198,2023-03-08 10:00:00+01:00,0.0,2023-03-08,10:00:00,8
199,2023-03-08 10:10:00+01:00,0.0,2023-03-08,10:10:00,8
200,2023-03-08 10:20:00+01:00,0.0,2023-03-08,10:20:00,8
201,2023-03-08 10:30:00+01:00,0.0,2023-03-08,10:30:00,8
202,2023-03-08 10:40:00+01:00,0.0,2023-03-08,10:40:00,8
203,2023-03-08 10:50:00+01:00,0.0,2023-03-08,10:50:00,8
204,2023-03-08 11:00:00+01:00,0.0,2023-03-08,11:00:00,8
205,2023-03-08 11:10:00+01:00,0.0,2023-03-08,11:10:00,8
206,2023-03-08 11:20:00+01:00,0.0,2023-03-08,11:20:00,8
207,2023-03-08 11:30:00+01:00,0.0,2023-03-08,11:30:00,8
208,2023-03-08 11:40:00+01:00,0.0,2023-03-08,11:40:00,8
209,2023-03-08 11:50:00+01:00,0.0,2023-03-08,11:50:00,8
210,2023-03-08 12:00:00+01:00,0.1375,2023-03-08,12:00:00,8
211,2023-03-08 12:10:00+01:00,0.83316666,2023-03-08,12:10:00,8
212,2023-03-08 12:20:00+01:00,0.9515,2023-03-08,12:20:00,8
213,2023-03-08 12:30:00+01:00,1.7766666,2023-03-08,12:30:00,8
214,2023-03-08 12:40:00+01:00,2.0806668,2023-03-08,12:40:00,8
215,2023-03-08 12:50:00+01:00,3.4618332,2023-03-08,12:50:00,8
216,2023-03-08 13:00:00+01:00,5.118,2023-03-08,13:00:00,8
217,2023-03-08 13:10:00+01:00,7.0155,2023-03-08,13:10:00,8
218,2023-03-08 13:20:00+01:00,9.224167,2023-03-08,13:20:00,8
219,2023-03-08 13:30:00+01:00,11.766334,2023-03-08,13:30:00,8
220,2023-03-08 13:40:00+01:00,14.817667,2023-03-08,13:40:00,8
221,2023-03-08 13:50:00+01:00,18.116333,2023-03-08,13:50:00,8
222,2023-03-08 14:00:00+01:00,21.425833,2023-03-08,14:00:00,8
223,2023-03-08 14:10:00+01:00,24.744167,2023-03-08,14:10:00,8
224,2023-03-08 14:20:00+01:00,28.157,2023-03-08,14:20:00,8
225,2023-03-08 14:30:00+01:00,31.758667,2023-03-08,14:30:00,8
226,2023-03-08 14:40:00+01:00,35.450165,2023-03-08,14:40:00,8
227,2023-03-08 14:50:00+01:00,39.181168,2023-03-08,14:50:00,8
228,2023-03-08 15:00:00+01:00,42.925167,2023-03-08,15:00:00,8
229,2023-03-08 15:10:00+01:00,46.576168,2023-03-08,15:10:00,8
230,2023-03-08 15:20:00+01:00,50.13983,2023-03-08,15:20:00,8
231,2023-03-08 15:30:00+01:00,53.651333,2023-03-08,15:30:00,8
232,2023-03-08 15:40:00+01:00,56.979332,2023-03-08,15:40:00,8
233,2023-03-08 15:50:00+01:00,60.188,2023-03-08,15:50:00,8
234,2023-03-08 16:00:00+01:00,63.374,2023-03-08,16:00:00,8
235,2023-03-08 16:10:00+01:00,66.4185,2023-03-08,16:10:00,8
236,2023-03-08 16:20:00+01:00,69.354164,2023-03-08,16:20:00,8
237,2023-03-08 16:30:00+01:00,72.1095,2023-03-08,16:30:00,8
238,2023-03-08 16:40:00+01:00,74.748665,2023-03-08,16:40:00,8
239,2023-03-08 16:50:00+01:00,77.136665,2023-03-08,16:50:00,8
240,2023-03-08 17:00:00+01:00,79.27866,2023-03-08,17:00:00,8
241,2023-03-08 17:10:00+01:00,81.311165,2023-03-08,17:10:00,8
242,2023-03-08 17:20:00+01:00,82.95783,2023-03-08,17:20:00,8
243,2023-03-08 17:30:00+01:00,83.36083,2023-03-08,17:30:00,8
244,2023-03-08 17:40:00+01:00,83.15038,2023-03-08,17:40:00,8
245,2023-03-08 17:50:00+01:00,82.63533,2023-03-08,17:50:00,8
246,2023-03-08 18:00:00+01:00,81.91617,2023-03-08,18:00:00,8
247,2023-03-08 18:10:00+01:00,80.87984,2023-03-08,18:10:00,8
248,2023-03-08 18:20:00+01:00,79.16617,2023-03-08,18:20:00,8
249,2023-03-08 18:30:00+01:00,78.261665,2023-03-08,18:30:00,8
250,2023-03-08 18:40:00+01:00,77.06617,2023-03-08,18:40:00,8
251,2023-03-08 18:50:00+01:00,75.35233,2023-03-08,18:50:00,8
252,2023-03-08 19:00:00+01:00,73.63983,2023-03-08,19:00:00,8
253,2023-03-08 19:10:00+01:00,71.853165,2023-03-08,19:10:00,8
254,2023-03-08 19:20:00+01:00,70.25283,2023-03-08,19:20:00,8
255,2023-03-08 19:30:00+01:00,69.293335,2023-03-08,19:30:00,8
256,2023-03-08 19:40:00+01:00,68.49783,2023-03-08,19:40:00,8
257,2023-03-08 19:50:00+01:00,67.61533,2023-03-08,19:50:00,8
258,2023-03-08 20:00:00+01:00,66.605835,2023-03-08,20:00:00,8
259,2023-03-08 20:10:00+01:00,65.611664,2023-03-08,20:10:00,8
260,2023-03-08 20:20:00+01:00,64.80233,2023-03-08,20:20:00,8
261,2023-03-08 20:30:00+01:00,64.007,2023-03-08,20:30:00,8
262,2023-03-08 20:40:00+01:00,63.115334,2023-03-08,20:40:00,8
263,2023-03-08 20:50:00+01:00,62.220165,2023-03-08,20:50:00,8
264,2023-03-08 21:00:00+01:00,61.323666,2023-03-08,21:00:00,8
265,2023-03-08 21:10:00+01:00,60.421833,2023-03-08,21:10:00,8
266,2023-03-08 21:20:00+01:00,59.595833,2023-03-08,21:20:00,8
267,2023-03-08 21:30:00+01:00,58.805832,2023-03-08,21:30:00,8
268,2023-03-08 21:40:00+01:00,57.918335,2023-03-08,21:40:00,8
269,2023-03-08 21:50:00+01:00,56.968334,2023-03-08,21:50:00,8
270,2023-03-08 22:00:00+01:00,55.940834,2023-03-08,22:00:00,8
271,2023-03-08 22:10:00+01:00,54.86,2023-03-08,22:10:00,8
272,2023-03-08 22:20:00+01:00,53.936165,2023-03-08,22:20:00,8
273,2023-03-08 22:30:00+01:00,53.03417,2023-03-08,22:30:00,8
274,2023-03-08 22:40:00+01:00,52.065834,2023-03-08,22:40:00,8
275,2023-03-08 22:50:00+01:00,51.220833,2023-03-08,22:50:00,8
276,2023-03-08 23:00:00+01:00,50.497,2023-03-08,23:00:00,8
277,2023-03-08 23:10:00+01:00,49.791668,2023-03-08,23:10:00,8
278,2023-03-08 23:20:00+01:00,49.07733,2023-03-08,23:20:00,8
279,2023-03-08 23:30:00+01:00,48.330334,2023-03-08,23:30:00,8
280,2023-03-08 23:40:00+01:00,47.456165,2023-03-08,23:40:00,8
281,2023-03-08 23:50:00+01:00,46.5915,2023-03-08,23:50:00,8
282,2023-03-09 00:00:00+01:00,45.767834,2023-03-09,00:00:00,7
283,2023-03-09 00:10:00+01:00,44.970833,2023-03-09,00:10:00,7
284,2023-03-09 00:20:00+01:00,44.246666,2023-03-09,00:20:00,7
285,2023-03-09 00:30:00+01:00,43.4905,2023-03-09,00:30:00,7
286,2023-03-09 00:40:00+01:00,42.61767,2023-03-09,00:40:00,7
287,2023-03-09 00:50:00+01:00,41.71583,2023-03-09,00:50:00,7
288,2023-03-09 01:00:00+01:00,40.852833,2023-03-09,01:00:00,7
289,2023-03-09 01:10:00+01:00,40.308834,2023-03-09,01:10:00,7
290,2023-03-09 01:20:00+01:00,40.29,2023-03-09,01:20:00,7
291,2023-03-09 01:30:00+01:00,40.29,2023-03-09,01:30:00,7
292,2023-03-09 01:40:00+01:00,40.29,2023-03-09,01:40:00,7
293,2023-03-09 01:50:00+01:00,40.29,2023-03-09,01:50:00,7
294,2023-03-09 02:00:00+01:00,40.29,2023-03-09,02:00:00,7
295,2023-03-09 02:10:00+01:00,40.58383,2023-03-09,02:10:00,7
296,2023-03-09 02:20:00+01:00,41.672,2023-03-09,02:20:00,7
297,2023-03-09 02:30:00+01:00,42.802788,2023-03-09,02:30:00,7
298,2023-03-09 02:40:00+01:00,43.948666,2023-03-09,02:40:00,7
299,2023-03-09 02:50:00+01:00,45.095833,2023-03-09,02:50:00,7
300,2023-03-09 03:00:00+01:00,46.231335,2023-03-09,03:00:00,7
301,2023-03-09 03:10:00+01:00,47.717667,2023-03-09,03:10:00,7
302,2023-03-09 03:20:00+01:00,49.66617,2023-03-09,03:20:00,7
303,2023-03-09 03:30:00+01:00,51.601166,2023-03-09,03:30:00,7
304,2023-03-09 03:40:00+01:00,53.522167,2023-03-09,03:40:00,7
305,2023-03-09 03:50:00+01:00,55.454666,2023-03-09,03:50:00,7
306,2023-03-09 04:00:00+01:00,57.373,2023-03-09,04:00:00,7
307,2023-03-09 04:10:00+01:00,58.99383,2023-03-09,04:10:00,7
308,2023-03-09 04:20:00+01:00,60.093334,2023-03-09,04:20:00,7
309,2023-03-09 04:30:00+01:00,61.207333,2023-03-09,04:30:00,7
